"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp83",0.499340904146896,0.342176341592357,-0.192587783124869,-0.0752396614730625,0.0611747623461032,0.931182163434012,1.04528750980893,1.14252932811865
"b_slp84",0.500425560529944,0.548610344460424,-0.612993085968087,-0.418778294357732,-0.190372415367619,1.20485952716617,1.39741313027489,1.57547431384212
"b_slp85",0.353369348570745,0.533500610841855,-0.695924019315733,-0.523172075096446,-0.319684609008232,1.0356593389536,1.23814880642441,1.41957325190339
"b_slp86",0.4246665401914,0.489666757841653,-0.53223950548944,-0.379230733023573,-0.218061400078157,1.03087910189464,1.2409865707088,1.37167737075941
"b_slp87",0.344300666264317,0.421023582658741,-0.433657963409969,-0.317098005642895,-0.209102151950441,0.881331192447187,1.01688043206637,1.17579376505795
"b_slp88",-0.0305232740800217,0.464747700675227,-0.947680220694473,-0.80682679369814,-0.634031640838898,0.547356772826821,0.711838416396515,0.876828974939271
"b_slp89",-0.187294875302727,0.449353679625626,-1.07708916223921,-0.9319428690079,-0.744338461857784,0.390736641718689,0.536553457350408,0.674118659912274
"b_slp90",-0.259399247681862,0.411805268692675,-1.04094082111955,-0.918596426543195,-0.780713032521867,0.262914941565799,0.403275785155669,0.564841383796316
"b_slp91",-0.179487842372862,0.384202201715168,-0.982397973282252,-0.826391198548143,-0.673776752823296,0.316076650437994,0.450552333966245,0.560696352536968
"b_slp92",-0.070914132646478,0.34524718012204,-0.746792715623585,-0.633447287011304,-0.510183602854123,0.364766238097973,0.491063216970212,0.617004062060396
"b_slp93",-0.0813960178683082,0.316983881279835,-0.702586485308259,-0.600183735630324,-0.47593179908147,0.329175867724088,0.437174605089267,0.552330636130238
"b_slp94",0.0065240402961829,0.332762362724186,-0.666360467247375,-0.564042153062031,-0.416653929602317,0.423315730511959,0.545468443573213,0.633931423169495
"b_slp95",0.103192619255356,0.318728571466982,-0.507764881316646,-0.403757152149461,-0.306880735306654,0.505723089474031,0.616357270047113,0.725701379237124
"b_slp96",0.178813170847996,0.300829604394778,-0.414969239210036,-0.315734074472052,-0.213318737843213,0.539131480545851,0.64906065411289,0.777375228493868
"b_slp97",0.27145563260126,0.302342473045009,-0.322003195113645,-0.211825215217625,-0.122546102429694,0.665458946533798,0.770069336768076,0.85340267371027
"b_slp98",0.392853592019751,0.300679529442799,-0.164477755753306,-0.0849382901706603,0.0243723579205283,0.775260375091609,0.914600469975804,0.984763656427471
"b_slp99",0.314160060453183,0.303059811186333,-0.274046838985584,-0.184894928575923,-0.0905118499994821,0.702643812710317,0.815193945755001,0.907629788545481
"b_slp100",0.104255949082881,0.317848693024031,-0.509605505699879,-0.41896855125122,-0.292583572097398,0.511372681079602,0.618566071026643,0.726196335769206
"b_slp101",0.18797386972093,0.321038294636551,-0.445525599111966,-0.350719318055332,-0.237876454403752,0.601165826487575,0.707152634528991,0.805281671075306
"b_slp102",0.305246671335108,0.329673276275935,-0.357180225966516,-0.239122728829273,-0.115791218024489,0.735248787612316,0.839487974430756,0.969025202447006
"b_slp103",0.418535284369655,0.33737295052115,-0.227718578062917,-0.132461436200808,-0.0178184767604753,0.860865681173842,0.992651301480948,1.10131929785843
"b_slp104",0.499340904146896,0.342176341592357,-0.192587783124869,-0.0752396614730625,0.0611747623461032,0.931182163434012,1.04528750980893,1.14252932811865
"b_slp105",0.482236109145883,0.567411557531145,-0.649131697162723,-0.442808925135256,-0.22998317810484,1.1857134749386,1.42031118438138,1.5937009349481
"b_slp106",0.358986149070376,0.542752304344069,-0.664118991825568,-0.509000241136897,-0.318302676483542,1.09261453763639,1.30447764008806,1.47924631693158
"b_slp107",0.367905385336653,0.487319154625088,-0.584394381120398,-0.430976332892938,-0.270569122587589,0.997681499502771,1.19101155175597,1.30669497907293
"b_slp108",0.331309318213419,0.452110170958698,-0.562398486303889,-0.403498247615653,-0.241524179168596,0.914370731610551,1.07633697918716,1.19052628628135
"b_slp109",-0.0213561586175229,0.476417202109317,-0.962168411382911,-0.789908131536537,-0.623585637072579,0.555234421293841,0.739330969622395,0.902449288579714
"b_slp110",-0.187858736629199,0.462006658207539,-1.09133613910245,-0.955568342850167,-0.757710567385961,0.381657097257466,0.603787289362178,0.747629301085431
"b_slp111",-0.244041675870216,0.434350857778724,-1.11473740564568,-0.960363224230395,-0.788624166406947,0.309377461100467,0.467366278966966,0.606942276517623
"b_slp112",-0.138345924914958,0.388503859145843,-0.885680388221425,-0.770132222502091,-0.633215856364366,0.348971991765861,0.49122369050689,0.611739708695487
"b_slp113",-0.00205779886268344,0.361078206024817,-0.716130552289002,-0.610064069047606,-0.474305445162756,0.466411038598405,0.582201755903355,0.705566018281507
"b_slp114",0.0246566767190674,0.319700490027078,-0.628145736911802,-0.519437734787885,-0.390971920134374,0.432869369979369,0.553871068769571,0.645030360961563
"b_slp115",0.0719518201999604,0.331779413224673,-0.58222536428558,-0.477297247405473,-0.354845635448506,0.485458627821545,0.642796947341573,0.71863834176337
"b_slp116",0.12581491522,0.313490176000915,-0.494094072173728,-0.393893987757054,-0.272898036355298,0.533315362733331,0.630608977238643,0.724845978692969
"b_slp117",0.182158972723485,0.310133656527596,-0.387730433118784,-0.30511858096257,-0.210488971001057,0.583203619495446,0.710402089556269,0.789673158699396
"b_slp118",0.281963535167487,0.305565609358548,-0.294671930375998,-0.194571107893069,-0.110227752824413,0.674253308186026,0.803443632374594,0.901742513191927
