"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp:era1989M2013322",0.622971063175533,0.52765497471464,-0.420455082759721,-0.260265015457057,-0.0724648585181823,1.28714381093777,1.48727599072025,1.68024099737369
"b_slp:era1989M2013323",0.492414070239377,0.492099358037738,-0.4371673740436,-0.319024372108058,-0.144417029726191,1.09751574755406,1.27161670099728,1.42893326909456
"b_slp:era1989M2013324",0.356229517791764,0.448278791996325,-0.511579778474776,-0.375948233422711,-0.207538703785663,0.924548440492995,1.1023701199058,1.22762716242639
"b_slp:era1989M2013325",0.276170247469134,0.43256514475409,-0.552561772251759,-0.406523974669164,-0.262932342663543,0.837194824074957,0.998229610324011,1.11969595546532
"b_slp:era1989M2013326",0.189511220265049,0.414486109905004,-0.63526525992328,-0.494012341593932,-0.313764612769083,0.689451354185041,0.836426227234294,0.969831874778004
"b_slp:era1989M2013327",0.14417379950878,0.401210141451547,-0.635943741787477,-0.495980743740143,-0.365119257355937,0.659347356930837,0.808297984500943,0.953293867355979
"b_slp:era1989M2013328",0.0621035799643882,0.386593727928964,-0.730077761648125,-0.580675363796191,-0.438284065017177,0.535184989340351,0.692832381810674,0.849802690950388
"b_slp:era1989M2013329",0.000371959892236007,0.37490371345526,-0.712871009208438,-0.612912166518228,-0.479801299554287,0.47025092838437,0.618373287561019,0.738970597233316
"b_slp:era1989M2013330",-0.00977356928521692,0.399167317844495,-0.775191469919843,-0.6420986284773,-0.514108882999539,0.500609523112623,0.655734736012794,0.7649583588598
"b_slp:era1989M2013331",-0.0659691253905716,0.414597367695095,-0.926289994231123,-0.760972337393682,-0.582722019577351,0.461668053307868,0.599723371493245,0.753323507146949
"b_slp:era1989M2013332",-0.0847879947767862,0.418310773663895,-0.888292647232782,-0.744461245773676,-0.60801069730305,0.457712272348164,0.597291548556549,0.757540464521426
"b_slp:era1989M2013333",-0.0869951074611724,0.423337750027697,-0.918641820906526,-0.767799751968127,-0.638813982804143,0.468663999672973,0.604180265337816,0.734038369549125
"b_slp:era1989M2013334",-0.145805338207633,0.451895483641001,-1.06398008198261,-0.905606039698799,-0.719018522487389,0.419922178487574,0.607393453273722,0.746322098587334
"b_slp:era1989M2013335",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M2013336",-0.787140687411618,1.183178287029,-3.02047984967288,-2.7028745231938,-2.32213309551444,0.761604837400259,1.17792699244048,1.59525341471044
