Date,ALBSA
2/1/1992,9
3/1/1992,-84.323
4/1/1992,11.3
5/1/1992,157.806
6/1/1992,-12.633
7/1/1992,52.903
8/1/1992,104
9/1/1992,14.8
10/1/1992,21.613
11/1/1992,41.967
12/1/1992,119.516
1/1/1993,163.677
2/1/1993,10.607
3/1/1993,-23.387
4/1/1993,-194.667
5/1/1993,-100.677
6/1/1993,-29.8
7/1/1993,60.097
8/1/1993,138.032
9/1/1993,115.733
10/1/1993,86.677
11/1/1993,216.9
12/1/1993,-163
1/1/1994,-108.484
2/1/1994,13.572
3/1/1994,-29.484
4/1/1994,-59.867
5/1/1994,-113.71
6/1/1994,60.667
7/1/1994,137.355
8/1/1994,299.419
9/1/1994,-11.967
10/1/1994,-6.323
11/1/1994,208.567
12/1/1994,11.323
1/1/1995,-129.322
2/1/1995,-58.964
3/1/1995,-15.968
4/1/1995,24
5/1/1995,-108.581
6/1/1995,15.233
7/1/1995,53.71
8/1/1995,123.387
9/1/1995,-43
10/1/1995,-80.355
11/1/1995,-64.533
12/1/1995,-182.936
1/1/1996,76.613
2/1/1996,141.69
3/1/1996,179.064
4/1/1996,-146.633
5/1/1996,90.064
6/1/1996,111.167
7/1/1996,149.613
8/1/1996,139.548
9/1/1996,-47.733
10/1/1996,12.097
11/1/1996,62.067
12/1/1996,-36.613
1/1/1997,-124.968
2/1/1997,-114.179
3/1/1997,28.581
4/1/1997,-13.9
5/1/1997,69.903
6/1/1997,-2.967
7/1/1997,80
8/1/1997,138.677
9/1/1997,-18.367
10/1/1997,-57.936
11/1/1997,41.5
12/1/1997,-93.258
1/1/1998,-234.226
2/1/1998,-252.25
3/1/1998,-32.935
4/1/1998,36.567
5/1/1998,22.129
6/1/1998,21.067
7/1/1998,38.774
8/1/1998,183.677
9/1/1998,28.6
10/1/1998,-18.419
11/1/1998,-50.2
12/1/1998,13.29
1/1/1999,26.71
2/1/1999,-6.429
3/1/1999,-26.903
4/1/1999,34.3
5/1/1999,-18
6/1/1999,-25.133
7/1/1999,118.774
8/1/1999,43.581
9/1/1999,59.367
10/1/1999,-112.581
11/1/1999,1.367
12/1/1999,-118.936
1/1/2000,50.258
2/1/2000,-80.517
3/1/2000,-170.871
4/1/2000,-57.067
5/1/2000,0.129
6/1/2000,36.067
7/1/2000,100.355
8/1/2000,161.29
9/1/2000,84.933
10/1/2000,52.839
11/1/2000,-58.367
12/1/2000,-159.452
1/1/2001,-194.355
2/1/2001,140.536
3/1/2001,-93.613
4/1/2001,43.067
5/1/2001,-47.064
6/1/2001,129.567
7/1/2001,138.097
